DATE,Energy_Consumption,TAVG,TMAX,TMIN,PRCP,Year_x,Real GDP (millions of chained 2017 dollars),Year_y,Total Employment (number of jobs),Month,Year,DayOfWeek,Energy_Consumption_Lag_1,Energy_Consumption_Lag_2,Energy_Consumption_Lag_3,Energy_Consumption_Lag_4,Energy_Consumption_Lag_5,Energy_Consumption_Lag_6,Energy_Consumption_Lag_7,Energy_Consumption_Lag_8,Energy_Consumption_Lag_9,Energy_Consumption_Lag_10,Energy_Consumption_Lag_11,Energy_Consumption_Lag_12,Energy_Consumption_Rolling_Mean
2020-06-01,0.08147912756683766,0.7694021449451801,61.29463891788168,46.70491186241477,4.3692199944086365,2020,0.5062234595312721,2020-01-01 00:00:00,-0.22202834707662045,6,2020,0,26098.31993,24001.90557,23975.36364,23587.97568,16723.70403,21726.34372,18579.70886,16063.97068,21151.14217,15304.45053,18604.99369,22391.08085,23853.365586666667
2020-05-01,-0.8045602954826605,-0.593129776388441,63.23411321099005,51.539339191904574,4.129264256426573,2020,0.5062234595312721,2020-01-01 00:00:00,-0.22202834707662045,5,2020,4,21459.87126,26098.31993,24001.90557,23975.36364,23587.97568,16723.70403,21726.34372,18579.70886,16063.97068,21151.14217,15304.45053,18604.99369,22171.628336666665
2020-04-01,-1.5100899367696081,-0.021993501745137176,62.81656142455434,44.5157857213214,4.40374765044377,2020,0.5062234595312721,2020-01-01 00:00:00,-0.22202834707662045,4,2020,2,18956.69382,21459.87126,26098.31993,24001.90557,23975.36364,23587.97568,16723.70403,21726.34372,18579.70886,16063.97068,21151.14217,15304.45053,19126.68174666667
2020-03-01,-0.6706542181385197,0.8491124356737648,65.65071085876538,47.90639963122453,4.111887683343138,2020,0.5062234595312721,2020-01-01 00:00:00,-0.22202834707662045,3,2020,6,16963.48016,18956.69382,21459.87126,26098.31993,24001.90557,23975.36364,23587.97568,16723.70403,21726.34372,18579.70886,16063.97068,21151.14217,18418.390003333334
2020-02-01,-1.5737007569729327,1.3088728010466453,61.80120907323496,47.050979219277934,4.483369054605694,2020,0.5062234595312721,2020-01-01 00:00:00,-0.22202834707662045,2,2020,5,19334.99603,16963.48016,18956.69382,21459.87126,26098.31993,24001.90557,23975.36364,23587.97568,16723.70403,21726.34372,18579.70886,16063.97068,17694.082483333335
2020-01-01,-0.23624926465948065,1.0475245683373844,64.30071685844426,46.36596798676973,4.334759088872856,2020,0.5062234595312721,2020-01-01 00:00:00,-0.22202834707662045,1,2020,2,16783.77126,19334.99603,16963.48016,18956.69382,21459.87126,26098.31993,24001.90557,23975.36364,23587.97568,16723.70403,21726.34372,18579.70886,18893.67140666667
2019-12-01,0.07012607879975674,-0.8915699877051754,60.97167062513491,47.927488275358606,4.170563927833918,2019,0.6416212971903998,2019-01-01 00:00:00,0.6917276310409258,12,2019,6,20562.24693,16783.77126,19334.99603,16963.48016,18956.69382,21459.87126,26098.31993,24001.90557,23975.36364,23587.97568,16723.70403,21726.34372,19591.271866666666
2019-11-01,-1.4714954928108241,0.3919117641549991,61.50234822266047,48.17313901080056,4.255682461408821,2019,0.6416212971903998,2019-01-01 00:00:00,0.6917276310409258,11,2019,4,21427.79741,20562.24693,16783.77126,19334.99603,16963.48016,18956.69382,21459.87126,26098.31993,24001.90557,23975.36364,23587.97568,16723.70403,19687.519620000003
2019-10-01,0.31443574102523625,0.6709084196031339,63.99601608948368,45.76315758764308,4.690147882296455,2019,0.6416212971903998,2019-01-01 00:00:00,0.6917276310409258,10,2019,1,17072.51452,21427.79741,20562.24693,16783.77126,19334.99603,16963.48016,18956.69382,21459.87126,26098.31993,24001.90557,23975.36364,23587.97568,20206.105379999997
2019-09-01,0.6097934254747135,-0.653650650363995,64.2019105966192,47.06397055449244,4.704299981301277,2019,0.6416212971903998,2019-01-01 00:00:00,0.6917276310409258,9,2019,6,22118.00421,17072.51452,21427.79741,20562.24693,16783.77126,19334.99603,16963.48016,18956.69382,21459.87126,26098.31993,24001.90557,23975.36364,20714.31569666667
2019-08-01,1.6945366149289847,0.12937095604526985,67.65895044561815,44.71298008225757,5.25464558327853,2019,0.6416212971903998,2019-01-01 00:00:00,0.6917276310409258,8,2019,3,22952.42836,22118.00421,17072.51452,21427.79741,20562.24693,16783.77126,19334.99603,16963.48016,18956.69382,21459.87126,26098.31993,24001.90557,23695.80084666667
